id,active,name,bic,street,city,zip,state/id,country/id,phone,fax,website,email
res_bank_1,TRUE,Алианц Банк България АД,BUINBGSF,бул. Мария Луиза № 79,София,1202,BG_SOF,base.bg,35929215404,35929819307,https://www.allianz.bg/,support@bank.allianz.bg
res_bank_2,TRUE,Банка ДСК ЕАД,STSABGSF,ул. Московска № 19,София,1036,BG_SOF,base.bg,35929391220,35929806477,https://dskbank.bg/,call_center@dskbank.bg
res_bank_3,TRUE,Банка Пиреос България АД,PIRBBGSF,бул. Цариградско шосе № 115 Е сграда Е,София,1784,BG_SOF,base.bg,35928004182,35928004362,http://www.piraeusbank.bg/,customerservice@piraeusbank.bg
res_bank_4,TRUE,Българо-американска кредитна банка АД,BGUSBGSF,ул. Славянска № 2,София,1000,BG_SOF,base.bg,35929658358,35929445010,https://www.bacb.bg/,bacb@bacb.bg 
res_bank_5,TRUE,Българска банка за развитие АД,NASBBGSF,ул. Стефан Караджа № 10,София,1000,BG_SOF,base.bg,35929306333,35929306321,http://www.bbr.bg,info-ngf@bdbank.bg
res_bank_6,TRUE,Инвестбанк АД,IORTBGSF,бул. България № 85,София,1404,BG_SOF,base.bg,35928186123,35928548199,http://ibank.bg/,office@ibank.bg
res_bank_7,TRUE,Интернешънъл Асет Банк АД,IABGBGSF,бул. Тодор Александров № 81-83,София,1303,BG_SOF,base.bg,35928120234,35929204201,http://www.iabank.bg/,iabank@iabank.bg
res_bank_8,TRUE,Обединена българска банка АД,UBBSBGSF,ул. Света София № 5,София,1040,BG_SOF,base.bg,35928112330,35929880822,https://www.ubb.bg/,
res_bank_9,TRUE,Общинска банка АД,SOMBBGSF,ул. Врабча № 6,София,1000,BG_SOF,base.bg,35929300111,35929815147,http://www.municipalbank.bg/,contacts@municipalbank.bg
res_bank_10,TRUE,ПроКредит Банк (България) АД,PRCBBGSF,бул. Тодор Александров № 26,София,1303,BG_SOF,base.bg,35928135100,35928135109,http://www.procreditbank.bg/,contact@procreditbank.bg 
res_bank_11,TRUE,Първа инвестиционна банка АД,FINVBGSF,бул. Драган Цанков № 37,София,1797,BG_SOF,base.bg,359291001,35929805033,https://www.fibank.bg/,call@fibank.bg
res_bank_12,TRUE,Райфайзенбанк (България) ЕАД,RZBBBGSF,ул. Гогол № 18-20,София,1504,BG_SOF,base.bg,359291985101,35929434528,https://www.rbb.bg/,call.center@raiffeisen.bg
res_bank_13,TRUE,СИБАНК ЕАД,BUIBBGSF,бул. Цар Борис ІІІ № 1,София,1612,BG_SOF,base.bg,35929399111,35929812526,https://www.cibank.bg/,clients@cibank.bg
res_bank_14,TRUE,Сосиете Женерал Експресбанк АД,TTBBBG22, бул. Владислав Варненчик № 92,Варна,9000,BG_VAR,base.bg,35952686100,35952601681,http://www.sgeb.bg/,sgeb.contact@socgen.com
res_bank_15,TRUE,Тексим Банк АД,TEXIBGSF,ул. Тодор Александров № 141,София,1309,BG_SOF,base.bg,35929035501,35929311207,http://www.teximbank.bg,Private.Banking@teximbank.bg
res_bank_16,TRUE,Ти Би Ай Банк EАД,TBIBBGSF,ул. Димитър Хаджикоцев № 52-54,София,1421,BG_SOF,base.bg,35929702410,35929702442,https://www.tbibank.bg/,info@tbibank.bg
res_bank_17,TRUE,Токуда Банк АД,CREXBGSF,ул. Георг Вашингтон № 21,София,1000,BG_SOF,base.bg,35924037900,35924037999,http://www.tcebank.com,headoffice@tcebank.com
res_bank_18,TRUE,Търговска банка Виктория ЕАД,BINVBGSF,бул. Княгиня Мария Луиза № 2 ЦУМ ет. 5,София,1000,BG_SOF,base.bg,35928951204,35928951212,http://www.tbvictoria.bg/,tbvictoria@tbvictoria.bg
res_bank_19,TRUE,Търговска банка Д АД,DEMIBGSF,бул. Генерал Тотлебен № 8,София,1606,BG_SOF,base.bg,35929357171,35929894848,http://www.dbank.bg/,dbank@dbank.bg
res_bank_20,TRUE,УниКредит Булбанк АД,UNCRBGSF,пл. Света Неделя № 7,София,1000,BG_SOF,base.bg,35929232111,35929884636,https://www.unicreditbulbank.bg,callcentre@unicreditgroup.bg
res_bank_21,TRUE,Централна кооперативна банка АД,CECBBGSF,ул. Г. С. Раковски № 103,София,1000,BG_SOF,base.bg,35929266266,35929804386,http://www.ccbank.bg/,front@ccbank.bg
res_bank_22,TRUE,Юробанк България АД,BPBIBGSF,ул. Околовръстен път № 260,София,1766,BG_SOF,base.bg,35928166000,35929888110,https://www.postbank.bg/,info@postbank.bg
res_bank_23,TRUE,Алфа банка - клон България,CRBABGSF,бул. Цариградско шосе № 99,София,1113,BG_SOF,base.bg,35928103500,35928103454,http://www.alphabank.bg/,
res_bank_24,TRUE,БНП Париба С. А. - клон София,BNPABGSX,бул. Цар Освободител № 2,София,1000,BG_SOF,base.bg,35929218640,35929218678,http://www.bnpparibas.bg,bulgaria_bnpparibas@bnpparibas.com
res_bank_25,TRUE,ИНГ Банк Н.В. - кл. София,INGBBGSF,бул. България № 49Б вх. А ет.7,София,1404,BG_SOF,base.bg,35929176400,35929176578,http://bg.ingwb.com/bg/enacheaelo,
res_bank_26,TRUE,Ишбанк АГ- клон София КЧТ,ISBKBGSF,пл. Позитано № 2 Бизнес център Перформ,София,1000,BG_SOF,base.bg,35924022000,35924022015,http://www.isbank.bg,
res_bank_27,TRUE,Ситибанк Европа АД - клон България,CITIBGSF,бул. Ситняково № 48 Сердика офиси ет. 10,София,1505,BG_SOF,base.bg,35929175100,35929819914,http://www.citibank.com/bulgaria,
res_bank_28,TRUE,Те-Дже Зираат Банкасъ - клон София,TCZBBGSF,ул. Цар Самуил № 87,София,1301,BG_SOF,base.bg,35929800087,35929802113,http://www.ziraatbank.bg/,sofia@ziraatbank.bg
